PHP Developer (CorePHP and/or Codeigniter),"Satellite, Ahmedabad, Gujarat",Hidden Brains,https://in.indeed.com/cmp/Hidden-Brains?campaignid=mobvjcmp&from=mobviewjob&tk=1i50h7v6rkhf4801&fromjk=2d2ce27969feee89,Full-time,"1Years
Relevant Experience
3Years
Total Experience
FullTime
Job Type
5
No. of Openings
Strong experience on CorePHP, MVC Framewokrs (CI Preferred), MYSQL & Javascript skills.
Excellent communication and inter-personal skills.
Effective Client Communication on International Projects is most preferred.
Pro-active & responsible in approach.
Good Analytical and Problem Solving abilities.
Ability to work on Multiple Projects with multiple deadlines.
Responsibilities
Previous experience in development of high-end web applications in PHP, MYSQL and AJAX.
Strong understanding of W3C compliant HTML and CSS code.
Strong PHP skills, both in scripting and object orientation (OOPS).
Strong knowledge of MySQL databases, including their construction, stored procedures, triggers and performance management.
Good working knowledge on CORE PHP along with any of the MVC Frameworks like.
CodeIgniter, Cakephp, Zend, YII.
Solid Linux background (Ubuntu or CentOS preferred).
Working knowledge shopping cart development with shipping, and Payment Gateway.
Integration for E-commerce websites.
Should have excellent database design and implementation skills.
Strong knowledge of JavaScript and JavaScript frameworks, preferably jQuery.
Previous use of a version control system (Git or SVN).
Minimum Qualifications
BCA / B.E./ B.Tech / MCA / M.Tech / Equivalent
Preferred Qualifications
Certification in relevant technologies would be preferred."
PHP Developer Internship,"Ahmedabad, Gujarat",Ingress IT Solutions,https://in.indeed.com/cmp/Ingress-IT-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1i50h8156kdrm803&fromjk=47f4c5d7985c0154,Full-time,"Job Description:
Selected intern’s day-to-day responsibilities include:
Understanding MVC design patterns
Understanding the fundamental design principle behind a scalable application
Working on user authentication and authorization between multiple systems, servers, and environments
Working on front-end technologies such as JavaScript, AngularJS, VueJS, HTML5, CSS3, etc.
Skills Required:
Strong knowledge of PHP web frameworks like Laravel, CodeIgnitor, etc. depending on your technology stack
Good knowledge in PHP and knowledge of fully synchronous behavior of PHP
Basic knowledge of NodeJS
Familiarity with SQL/NoSQL database and their declarative query languages
Advanced knowledge in WebPack and other basic tools to work with JavaScript nowadays (Git, NPM, etc.)
Constant desire to learn and the ability to learn quickly
Aesthetic sensibility and attention to detail
A team player
You feel comfortable expressing yourself in English
Desirable Skills:
Strong Knowledge of PHP, MVC Framework and Laravel Framework
Education:
(UG – Any Graduate – Any Specialization) , (PG – Any PG Course – Any Specialization), B. Sc IT, M. Sc. IT, BCA, MCA, B. Tech, M. Tech
Job Category:
Internship
Job Type:
Full Time
Job Location:
Ahmedabad"
Sr. PHP Developer,"Ahmedabad, Gujarat",Birbals Technologies Pvt Ltd,https://in.indeed.com/cmp/Birbals-Inc-1?campaignid=mobvjcmp&from=mobviewjob&tk=1i50h822qic1r800&fromjk=23ebedc8d934706a,Full-time,"Join Our Tech Team
Become a vital part of our tech team, where you'll be primarily responsible for developing and operating our server-side infrastructure. Collaborating closely with our CEO, you will play a key role in scaling our products and ensuring their reliability. This position involves hands-on coding (90%) and strategic planning (10%).
Key Responsibilities:
Develop robust server-side applications using PHP
Design and implement scalable server architectures and infrastructures
Lead the CI/CD pipeline setup and management
Manage and optimize SQL databases
Create automated test suites to ensure product reliability
Select and manage tools for effective system monitoring, reflecting best practices
Required Technical Skills:
Expertise in PHP (knowledge in Python is a strong plus)
Proficient with Docker and Kubernetes
Experience in designing and managing automated CI/CD workflows
Strong understanding of both relational and non-relational databases
Professional Attributes:
At least 5 years of experience in backend development
Minimum 2 years of experience involving DevOps practices, preferably in high-traffic environments
If your skills and expertise match the requirements of this position, please send us your CV for review. Additionally, if you have a portfolio or examples of previous work, we would be interested in seeing them. We are eager to assess your qualifications and establish a cooperative relationship as soon as possible.
We look forward to hearing from you.
Job Type: Full-time
Work Location: In person"
Student Internship,"Vastrapur, Ahmedabad, Gujarat",I Vision Infotech,https://in.indeed.com/cmp/I-Vision-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1i50h83l02e72000&fromjk=6d5fe376858ed3d1,Full-time,"Job description
Exciting Opportunity for PHP/Laravel Developer & Flutter/Android Developer
student, freshers and trainees
at I Vision Infotech
Are you a passionate individual pursuing a degree in IT? We have an incredible internship opportunity waiting for you!
-Position: IT Intern
- Location: Ahmadabad
- Eligibility: BCA, Bsc.IT, Msc.IT, MCA, BE IT, Diploma IT
- About Us:
We are a dynamic and innovative company committed to providing a nurturing environment for young talents to thrive. As an IT intern, you will have the chance to work on real-world projects, enhance your skills, and be mentored by experienced professionals
Job Types: Fresher, Internship
Contract length: 3 months
Pay: From ₹3,000.00 per month
Jadwal:
Fixed shift
Experience:
total work: 1 year (Preferred)
Work Location: In person
Job Types: Full-time, Permanent
Pay: ₹12,809.39 - ₹77,384.45 per month
Schedule:
Fixed shift
Experience:
total work: 1 year (Preferred)
Work Location: In person
Job Types: Full-time, Permanent
Pay: ₹12,809.39 - ₹77,384.45 per month
Schedule:
Fixed shift
Experience:
total work: 1 year (Preferred)
Work Location: In person"
Full Stack Developer,"Ahmedabad, Gujarat",ixceed solutions,https://in.indeed.com/cmp/Ixceed-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1i50h855okhj4800&fromjk=993701fe2a7f7db4,"₹8,00,000 - ₹10,00,000 a year","Role: Full-stack developer
Location: Ahmedabad
Type: Onsite
Job Description:
Requirement
Minimum 3 years of experience in React.js development.
Proficiency in HTML, CSS, and modern CSS frameworks (Bootstrap, Foundation, or Tailwind CSS).
Strong understanding of JavaScript (ES6+), including DOM manipulation and event handling.
Experience with state management libraries (Redux, Vuex).
Proficiency in Node.js for back-end development.
Knowledge of PHP is a plus.
Solid experience with SQL databases (MySQL).
Strong understanding of RESTful services and API design.
Familiarity with version control systems (Git).
Experience with package managers (npm, Yarn, Composer).
Job Type: Permanent
Pay: ₹800,000.00 - ₹1,000,000.00 per year
Schedule:
Day shift
Experience:
React.js: 3 years (Required)
HTML, CSS: 3 years (Required)
JavaScript (ES6+): 3 years (Required)
Redux, Vuex: 2 years (Required)
MySQL/SQL: 2 years (Required)
API design: 2 years (Required)
Npm, Yarn, Composer: 2 years (Required)
Total: 4 years (Required)
Work Location: In person"
Fresher Php Developer,"Ahmedabad, Gujarat",Pixlogix Infotech,https://in.indeed.com/cmp/Pixlogix-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1i50h86bujhqp801&fromjk=0b7e77e934020904,Full-time,"We’re looking for enthusiastic freshers to join our team as PHP Developers.
Experience:
Fresher
Job Type:
Full-Time
Location:
Ahmedabad
Openings:
1
Job Description
If you have basic knowledge & skills of PHP Development, we will provide you with systematic training.
Minimum Qualifications
BE, ME, MCA or MSC (IT)
Roles and Responsibilities
Strong Knowledge of Core PHP Concepts
Basic knowledge of PHP Framework
Basic knowledge of PHP based CMS (WordPress, Magento)
Flexible to work on any PHP frameworks or CMS
Good Understanding of AJAX
Good knowledge of front-end technologies, such as jQuery, javascript, HTML5, and CSS3, Angular JS
Proficiency with MySQL
Knowledge of object oriented PHP programming
Self Learn and career oriented
Enthusiastic, energetic, detail oriented, and self-Motivated
Should be good at team work
Good Communication
Understanding of client requirement"
Sr. PHP Developer,"Vastrapur, Ahmedabad, Gujarat",JBK Technologies Pvt Ltd.,https://in.indeed.com/cmp/Jbk-Technologies-Pvt-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1i50h87hukhj4802&fromjk=60e23c6fd7e7f54b,"₹4,00,000 - ₹10,00,000 a year","Job Type:
Full Time
Job Time:
12 pm to 9 pm
Working days:
5 days (Mon – Fri) - WFO
About the company
JBK Technologies Private Limited is a subsidiary of a US based technologies and business consulting firm, Grove86 Group in NY/NJ. Grove86 specializes in technology and business consulting for startups and VC-backed companies. We help resolve the most critical matters: technology, strategy, marketing, organization, operations, and budgeting, while focusing on the entrepreneur’s idea and opportunities. And, Yes, we also provide full service branding and digital solutions to your business.
Our Mission:
We don’t want to let your ideas vaporize just because you don’t have enough capital or the right technology resources. Many noble ideas just die down because technology seems too complex or too expensive. At Grove86 we help kick-start new ideas by providing technology and product development consulting.
The Role
We are seeking a motivated and talented PHP Developer to join our growing team. As a PHP Developer, you will have the opportunity to work on exciting web development projects, collaborating with a team of experienced developers. This is a great opportunity for someone who is passionate about PHP development and wants to expand their skills in a supportive and challenging environment.
Responsibilities:
- Collaborate with the development team to design, develop, and maintain PHP-based web applications
- Write clean and efficient code, following best practices and coding standards
- Troubleshoot and debug issues that arise during the development process
- Coordinate with co-developers and keeps project manager well informed of the status of development effort and serves as liaison between development staff and project manager
- Stay up-to-date with emerging technologies and trends in PHP development
Requirements:
- Bachelor's degree in Computer Science or a related field (or equivalent work experience)
- Solid understanding of PHP programming language and its frameworks (e.g., Laravel, CodeIgniter)
- Experience with front-end technologies such as HTML, CSS, and JavaScript - Familiarity with relational databases and SQL
- Strong problem-solving and analytical skills
- Excellent communication and teamwork abilities
- Ability to work in a fast-paced environment and handle multiple projects simultaneously
- Self-motivated and eager to learn and grow as a developer
Preferred Qualifications:
- Experience with version control systems (e.g., Git)
- Knowledge of RESTful APIs and integration
- Familiarity with Agile development methodologies
- Understanding of cross-browser compatibility and responsive web design
Job Type: Full-time
Pay: ₹400,000.00 - ₹1,000,000.00 per year
Benefits:
Health insurance
Paid sick time
Provident Fund
Schedule:
Day shift
Monday to Friday
Ability to commute/relocate:
Vastrapur, Ahmedabad, Gujarat: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Will you be available for an in-person interview in our Ahmedabad office?
Education:
Bachelor's (Preferred)
Experience:
PHP: 3 years (Required)
Work Location: In person"
Php Developer,"Ahmedabad, Gujarat",Cogent Commerce,https://in.indeed.com/cmp/Cogent-Commerce?campaignid=mobvjcmp&from=mobviewjob&tk=1i50h88n32i67000&fromjk=11a9f2d16ea1ef42,Fresher,"Position
: 3
Experience
: 0 to 1 Year Fresher or Experience
Requirements:
0-1 Years of Experience
Education : B.E/B.Tech/MCA/BCA/ MSC-IT
Candidate must have basic knowledge of Core PHP and MVC / Object Oriented Programming.
Basic knowledge of developing and maintaining Data Base in MySQL (PHPMYADMIN).
Basic Knowledge of HTML, HTML 5, CSS, CSS3
Excellent coding skills basic communication and analytical skills.
Sound knowledge of JavaScript, Jquery, JSON, Ajax, Bootstrap
Knowledge of any Open source WordPress, Magento 1x 2x would be advanctage.
Strong Technical & Research Skills.
Should be motivated self starter and a very good team player."
Laravel Developer,"Ahmedabad, Gujarat",Neosoft Technologies,https://in.indeed.com/cmp/Winapps-Software-Solutions-Pvt.ltd-2?campaignid=mobvjcmp&from=mobviewjob&tk=1i50h89spj6ve806&fromjk=8248860e4dc42a26,"₹5,00,000 - ₹10,00,000 a year","Position:
Laravel Developer
Location:
Ahmedabad (On-Site)
Experience:
4-5 Years
Availability:
Immediate
CTC:
10 LPA
About Us:
NeoSoft Technologies is a dynamic and innovative tech company dedicated to creating cutting-edge web applications. We are seeking a skilled Laravel Developer to join our team in Ahmedabad. If you are passionate about web development and have a strong background in both backend and frontend technologies, we want to hear from you!
Key Responsibilities:
Web Development:
Develop, test, and maintain dynamic web applications using Laravel and PHP.
Frontend Integration:
Integrate front-end components with server-side logic to create seamless user experiences using jQuery.
Database Management:
Design and manage MySQL databases to ensure optimal performance and scalability.
API Integration:
Implement and integrate third-party APIs and web services.
Code Optimization:
Write clean, well-documented, and efficient code following best practices.
Collaboration:
Work closely with other developers, designers, and stakeholders to meet project specifications and deadlines.
Debugging:
Identify, troubleshoot, and resolve issues and bugs in a timely manner.
Client Interaction:
Communicate with clients to understand their requirements and provide updates on project progress.
Documentation:
Maintain comprehensive documentation of code, processes, and methodologies.
Security:
Implement security measures to protect applications and data from potential threats.
Mandatory Skills & Knowledge:
Laravel Proficiency:
Minimum 4-5 years of hands-on experience in Laravel development.
PHP Expertise:
Strong experience with PHP for backend development.
Frontend Technologies:
Proficiency in jQuery for front-end development.
Database Management:
Strong experience with MySQL, including database design, optimization, and management.
Version Control:
Hands-on experience with version control tools like Git.
Problem-Solving:
Strong analytical and problem-solving skills.
Communication:
Excellent written and verbal communication skills.
Desirable Skills:
RESTful APIs:
Experience in designing and integrating RESTful APIs.
Linux Proficiency:
Experience with Linux-based environments and server management.
Agile Methodology:
Familiarity with Agile development methodologies.
Cloud Services:
Basic knowledge of cloud services such as AWS, Azure, or Google Cloud Platform.
Educational Qualifications:
Degrees:
B.E/B.Tech/MCA/BCA/M.Sc-IT or equivalent practical experience.
Why Join Us?
Innovative Projects:
Work on cutting-edge projects that challenge you.
Professional Growth:
Opportunities for continuous learning and career advancement.
Collaborative Environment:
Join a team that values creativity, excellence, and innovation.
Flexible Work Culture:
Enjoy a flexible work environment with a focus on work-life balance.
How to Apply:
If you are ready to take on a new challenge and grow your career with us, apply now!
Email: dimple.patel@neosofttech.com
Contact: 8104137824
Job Types: Full-time, Permanent
Pay: ₹500,000.00 - ₹1,000,000.00 per year
Benefits:
Commuter assistance
Flexible schedule
Health insurance
Internet reimbursement
Leave encashment
Life insurance
Paid sick time
Paid time off
Provident Fund
Schedule:
Day shift
Monday to Friday
Supplemental Pay:
Performance bonus
Quarterly bonus
Yearly bonus
Education:
Bachelor's (Preferred)
Experience:
total work: 4 years (Required)
software development: 4 years (Required)
Laravel: 4 years (Required)
Work Location: In person"
Jr. PHP Developer,"Satellite, Ahmedabad, Gujarat",TechnoBrains Business Solutions LLP,https://in.indeed.com/cmp/Technobrain-IT-Solution-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1i50h8b8tjbrd801&fromjk=ab31f0b98bef4937,"₹20,000 - ₹40,000 a month","Role Description
This is a full-time on-site role for a PHP Developer. The PHP Developer will be responsible for back-end and front-end web development, programming, web design, and other web development tasks as assigned by the team lead.
Experience: 1 to 3 Years
Location: Satellite, Ahmedabad (WFO)
Job Description:
-Proficiency in Core PHP, Laravel, React.js, WordPress and Python.
-Strong experience in developing and maintaining web applications.
-Capable of working on both frontend and backend development.
-Familiarity with databases (e.g., MySQL, MongoDB) and RESTful APIs.
-Strong problem-solving skills and the ability to work independently or as part of a team.
-Excellent communication skills and the ability to collaborate effectively with cross-functional teams.
Job Type: Permanent
Pay: ₹20,000.00 - ₹40,000.00 per month
Location Type:
In-person
Schedule:
Day shift
Education:
Bachelor's (Preferred)
Experience:
Laravel: 1 year (Preferred)
Python: 1 year (Preferred)
Work Location: In person"
